Comp - Ale 
NºElementos QC QM3 QPE QI1 QI5 QI10 QNR
50000 422292 437380 438778 222833 167392 145780 422868 
100000 888930 923622 925546 446348 336576 289352 891134 
150000 1380512 1426764 1425678 669120 505340 432740 1380096 
200000 1877036 1940144 1939684 890234 669486 583132 1875586 
250000 2379692 2459926 2460932 1117942 842846 727198 2375762 
300000 2889690 2990280 2992726 1331030 1011926 863188 2890836 
350000 3405786 3528428 3519892 1561872 1184480 1009654 3418172 
400000 3937622 4072066 4068884 1786498 1346724 1159188 3932476 
450000 4455522 4615636 4600840 2002388 1515536 1305870 4456542 
500000 4997470 5159666 5161150 2223742 1684552 1445030 4989046 


NºElementos QC QM3 QPE QI1 QI5 QI10 QNR
50000 423252 437560 438682 4456524 21551848 43769194 423706 
100000 890772 918770 922792 17283079 87835570 171207465 892356 
150000 1378464 1424360 1423376 39025003 197424617 392401991 1378318 
200000 1876930 1940150 1937266 69269664 343737240 673536952 1875106 
250000 2383482 2460052 2461322 107596856 540406265 1072941510 2378480 
300000 2899552 2991252 2992542 153719159 771882157 1579566553 2892286 
350000 3419720 3524312 3525470 209445594 1052918266 2041490637 3415294 
400000 3932792 4068458 4067974 274480465 1392755793 18446744072092597694 3922070 
450000 4458262 4613740 4607476 347843404 1739062499 18446744072918102352 4466570 
500000 4996452 5155446 5152428 427007508 18446744071602776865 18446744073118102352  4993162 
