Comp - Ale 
NºElementos QC QM3 QPE QI1 QI5 QI10 QNR
50000 421224 437500 434204 4385098 20494478 40462408 424138 
100000 895320 929572 920314 17568479 89938235 179284192 882196 
150000 1381458 1421592 1415874 39685940 181870763 372344989 1383358 
200000 1886482 1929546 1926816 68799722 347404958 807972685 1868304 
250000 2380390 2464412 2456298 110721107 525644822 951284819 2362102 
300000 2896116 2975560 2982504 153854969 770436832 1426999003 2893740 
350000 3401524 3540396 3515822 211024434 1055734111 2137707255 3389928 
400000 3951114 4072988 4040092 275589318 1323503079 18446744072147052173 3933422 
450000 4493400 4621784 4576528 356029121 1772056883 18446744072805096209 4460822 
500000 4989150 5166798 5121800 424388864 2141463625 18446744073478726044 5010446  

Comp - OrdC 
NºElementos QC QM3 QPE QI1 QI5 QI10 QNR
50000 65534 65534 99998 50255 50063 50031 65534 
100000 131070 131070 199998 100255 100063 100031 131070 
150000 168928 168928 299998 150255 150063 150031 168928 
200000 262142 262142 399998 200255 200063 200031 262142 
250000 262142 262142 499998 250255 250063 250031 262142 
300000 337856 337856 599998 300255 300063 300031 337856 
350000 437856 437856 699998 350255 350063 350031 437856 
400000 524286 524286 799998 400255 400063 400031 524286 
450000 524286 524286 899998 450255 450063 450031 524286 
500000 524286 524286 999998 500255 500063 500031 524286 

Comp - OrdD 
NºElementos QC QM3 QPE QI1 QI5 QI10 QNR
50000 115532 115532 149996 100254 100062 100030 115532 
100000 231068 231068 299996 200254 200062 200030 231068 
150000 318928 318928 449996 300254 300062 300030 318928 
200000 462140 462140 599996 400254 400062 400030 462140 
250000 512140 512140 749996 500254 500062 500030 512140 
300000 637856 637856 899996 600254 600062 600030 637856 
350000 787856 787856 1049996 700254 700062 700030 787856 
400000 924284 924284 1199996 800254 800062 800030 924284 
450000 974284 974284 1349996 900254 900062 900030 974284 
500000 1024284 1024284 1499996 1000254 1000062 1000030 1024284 




Mod - Ale 
NºElementos QC QM3 QPE QI1 QI5 QI10 QNR
50000 199051 205109 200242 4354290 21357400 42705793 199127 
100000 422550 433287 423765 17338980 87683285 167606466 422106 
150000 652835 670430 656105 38655580 196461892 398086398 654770 
200000 889257 914178 893543 68466145 342814577 664191392 892114 
250000 1133604 1161083 1136241 107028313 538429001 1080473438 1132013 
300000 1378951 1411670 1383441 154826181 755513954 1574060758 1377470 
350000 1625805 1664863 1631903 209552498 1024193625 2112595567 1623027 
400000 1876963 1924238 1883400 274036475 1388637155 18446744072198769385 1874426 
450000 2129277 2183987 2135076 346309508 1728481554 18446744072864699441 2122149 
500000 2379840 2442179 2396086 431815924 18446744071570401232 18446744073345214726 2384109

Mod - OrdC
NºElementos QC QM3 QPE QI1 QI5 QI10 QNR
50000 32767 32767 49999 50000 50000 50000 32767 
100000 65535 65535 99999 100000 100000 100000 65535 
150000 84464 84464 149999 150000 150000 150000 84464 
200000 131071 131071 199999 200000 200000 200000 131071 
250000 131071 131071 249999 250000 250000 250000 131071 
300000 168928 168928 299999 300000 300000 300000 168928 
350000 218928 218928 349999 350000 350000 350000 218928 
400000 262143 262143 399999 400000 400000 400000 262143 
450000 262143 262143 449999 450000 450000 450000 262143 
500000 262143 262143 499999 500000 500000 500000 262143 

Mod - OrdD 
NºElementos QC QM3 QPE QI1 QI5 QI10 QNR
50000 57766 57766 49999 75000 75000 75000 57766 
100000 115534 115534 99999 150000 150000 150000 115534 
150000 159464 159464 149999 225000 225000 225000 159464 
200000 231070 231070 199999 300000 300000 300000 231070 
250000 256070 256070 249999 375000 375000 375000 256070 
300000 318928 318928 299999 450000 450000 450000 318928 
350000 393928 393928 349999 525000 525000 525000 393928 
400000 462142 462142 399999 600000 600000 600000 462142 
450000 487142 487142 449999 675000 675000 675000 487142 
500000 512142 512142 499999 750000 750000 750000 512142 

Mod - Ale 
NºElementos QC QM3 QPE QI1 QI5 QI10 QNR
50000 199249 203534 197678 4504405 20237519 35551918 197861 
100000 426386 432787 424415 16710714 89456722 168487431 424591 
150000 656712 669859 661201 37726299 202575685 422883250 656966 
200000 895631 915837 890441 69552008 311795599 633902210 892829 
250000 1131063 1159935 1125437 107237750 528105979 1037503330 1136421 
300000 1377502 1412851 1374073 150308556 760384100 1631091794 1367722 
350000 1634868 1659067 1637394 214811697 1061738873 2009700758 1620633 
400000 1884680 1926833 1886723 272375759 1440736244 18446744072315176383 1870171 
450000 2130713 2175913 2092762 351156637 1751335925 18446744073031106593 2117915 
500000 2380425 2443039 2391685 439666268 18446744071703081034 138609059 2390493 

Time - Ale 
NºElementos QC QM3 QPE QI1 QI5 QI10 QNR
50000 10806 10425 7979 15410 53732 102268 6996 
100000 12703 13022 12882 46776 202086 395589 14477 
150000 19743 20276 19617 97736 513709 972602 22303 
200000 26943 27124 26520 174936 854527 1695603 30429 
250000 35499 35045 34700 279807 1334973 2379124 39151 
300000 43287 46037 45739 462382 2854099 5873968 67442 
350000 65828 67947 67324 733681 3821347 7053722 79898 
400000 81566 86105 86973 1045713 5068342 10078151 90421 
450000 89053 91404 91978 1171713 5586994 12243067 103159 
500000 99788 100607 98265 1543434 7718720 14629191 117884 

Time - OrdC 
NºElementos QC QM3 QPE QI1 QI5 QI10 QNR
50000 2094 2318 2458776 1288 1073 964 3717 
100000 4920 5431 9328867 2223 1844 1660 6819 
150000 6421 7026 20413859 3200 2668 2416 8962 
200000 8497 9337 37176764 4265 3561 3225 13115 
250000 10163 10879 56867445 5514 4611 4164 15314 
300000 13033 14072 80889869 6466 5487 5006 19197 
350000 15646 17615 110082771 7460 6271 5831 23554 
400000 18381 20069 144828121 8821 7418 6676 27960 
450000 19954 21880 185139426 9704 8026 7268 28712 
500000 21293 22742 229124774 10342 8627 7775 29409 

Time - OrdD 
NºElementos QC QM3 QPE QI1 QI5 QI10 QNR
50000 2050 2253 2152366 1203 1024 937 3165 
100000 4261 4665 9022104 2471 2109 1938 6914 
150000 6491 7037 19517415 3579 3064 2812 9257 
200000 8863 9678 36381546 5145 4426 4048 14334 
250000 11470 12211 60869004 6422 5540 5051 16221 
300000 14047 15209 80781516 8886 7622 6994 23355 
350000 19578 21165 110446924 8354 7195 6560 23087 
400000 18410 20031 147618493 12454 10625 9842 35640 
450000 26466 28142 191528946 11510 9842 9034 31120 
500000 23877 25147 227195683 12791 11227 10461 33614 














